1,2025-10-06T09:30:00,150.00,Food,expense
2,2025-10-06T10:00:00,2000.00,Salary,income
3,2025-10-06T11:00:00,60.00,Bills,expense
4,2025-10-13T12:36:35.4429097+11:00,50,Food,Expense
5,2025-10-13T12:36:35.4460170+11:00,2000,Salary,Income
6,2025-10-13T12:36:48.2513236+11:00,50,Food,Expense
7,2025-10-13T12:36:48.2523544+11:00,2000,Salary,Income
8,2025-10-14T12:48:40.7050080+11:00,50,Food,Expense
9,2025-10-14T12:48:40.7115760+11:00,2000,Salary,Income
10,2025-10-14T13:49:03.3579650+11:00,50,Food,Expense
11,2025-10-14T13:49:03.3631940+11:00,2000,Salary,Income
12,2025-10-15T00:00:00.0000000+11:00,20,Transport,Expense
13,2025-10-15T00:00:00.0000000+11:00,5000,Salary,Income
14,2025-10-15T00:00:00.0000000+11:00,900,Grocery,Expense
15,2025-06-10T00:00:00.0000000,700,Entertainment,Expense
